ЭКР 2102КФ, МИНИКА 1102МКФ
«–» под знаком «ОШ»;Неверные действия оператора
«–» под знаком «П»;Переполнение счётчика накопленных сумм
Eth. HEHOP;Нет подключения к сети Ethernet
GS НЕНОР;Неисправен блок связи GSM
SI НЕНОР;SIM-карта отсутствует или имеет отрицательный баланс
АП ПУ;Сбой или авария питания принтера
АП1;Разряжен аккумулятор (при снижении напряжения питающей сети)
АП2;Напряжение питания больше верхней границы (подключён неподходящий аккумулятор)
АРХИВ ФН ПЕРЕПОЛНЕН;Требуется закрыть фискальный режим, завершить передачу всех документов в ОФД и заменить ФН
ДО ОКОНЧ СРОКА ДЕЙСТ 3 ДН;Срок действия ФН закончится через 3 дня
ДО ОКОНЧ СРОКА ДЕЙСТ 30 ДН;Срок действия ФН закончится через 30 дней
ЗАКОНЧЕН СРОК ЭКСПЛУАТ ФН;Требуется закрыть фискальный режим, завершить передачу всех документов в ОФД и заменить ФН
ЗУ;Неисправна микросхема памяти
ИСЧЕРПАН РЕСУРС ХРАНЕНИЯ;Ресурс для хранения документов, ожидающих отправки в ОФД, исчерпан
ИСЧЕРПАН РЕСУРС ОЖИДАНИЯ;Время ожидания в очереди самого старого сообщения на отправку превысило 30 суток
ИСЧЕРПАН РЕСУРС ФН;Исчерпан ресурс криптографического сопроцессора ФН
ИСЧЕРПАНИЕ РЕСУРСА ФН;Срок действия ФН скоро закончится (предупреждение)
КРИТИЧЕСКАЯ ОШИБКА ФН;Произошла неисправимая ошибка в фискальном накопителе
НБУ;Закончилась чековая лента, или нет прижима бумаги
НЕ ЗАР;Разрядился аккумулятор
НЕВЕР. РАЗНИЦА ВО ВРЕМЕНИ;Неверная разница во времени между двумя операциями (требуется коррекция времени в ККМ)
НЕВЕРНАЯ ДАТА И ВРЕМЯ;Дата и время операции не соответствуют логике работы ФН
НЕТ ЗАПРОШЕННЫХ ДАННЫХ;Запрошенные данные отсутствуют в архиве ФН
ОЗУ;Неисправен процессор
ОШ. ДАТА И ВРЕМЯ;Ошибка при вводе даты или времени
ОШИБКА ФН;Произошла неисправимая ошибка в фискальном накопителе
ПЕРЕГРЕВ;Перегрев термопринтера
ПЕРЕПОЛНЕНИЕ ПАМЯТИ ФН;Требуется закрыть фискальный режим, завершить передачу всех документов в ОФД и заменить ФН
ПЗУ;Неисправно ПЗУ (память прошивки)
СМЕНА БОЛЕЕ 24 ЧАСОВ;Продолжительность смены превысила 24 часа
СООБЩЕНИЕ ОФД НЕ ПРИНЯТО;Сообщение ОФД не может быть принято
СРОЧНАЯ ЗАМЕНА ФН;Произошла неисправимая ошибка в фискальном накопителе
ЧАС. НЕНОР;Неисправна микросхема таймера
Меркурий 115Ф
SD КАРТА НЕИСПРАВНА;Неисправна SD-карта или цепи разъёма XS5
SIM КАРТА ЗАБЛОК. PIN КОДОМ;SIM-карта заблокирована PIN-кодом
SIM КАРТА ЗАБЛОКИРОВАНА;SIM-карта заблокирована
SIM КАРТА НЕИСПРАВНА;SIM-карта неисправна или отсутствует
WIFI НЕИСПРАВЕН;Неисправен модуль WiFi
WIFI ОТКАЗ РЕГИСТР. В СЕТИ;В настройках введён неверный ssid или пароль к сети, или точка доступа WiFi закрыта для подключения
АВАРИЯ ПИТАНИЯ;Напряжение на аккумуляторе ниже 6V
АККУМУЛЯТОР НЕИСПРАВЕН;Аккумулятор вышел из строя и требует замены
АРХИВ ФН ЗАКРЫТ;Попытка выполнить операцию, которая требует, чтобы архив ФН был открыт
БАЗА ТОВАРОВ ЗАПОЛНЕНА;База товаров полностью заполнена
БАЗА ТОВАРОВ ПУСТА;База товаров отсутствует
БАТАРЕЯ ЧАСОВ НЕИСПРАВНА;Напряжение на батарее таймера ниже 2V или выше 3,7V
ВРЕМЯ АВТОНОМНОЙ РАБОТЫ ИСТЕКЛО;Истекло время работы ККМ в автономном режиме. Требуется отправка документов в ОФД
ДАТА/ВРЕМЯ НЕКОРРЕКТНЫ!;Ошибка формата даты/времени
ДИСК НЕ ОТФОРМАТИРОВАН;Flash-диск не отформатирован в FAT16 или FAT32
ДОСТУП ЗАПРЕЩЁН!;У оператора нет прав для выполнения текущей операции
ЗАРЯДИТЕ АККУМУЛЯТОР;Аккумулятор разряжен
